trial,pFinf,pFnoninf,pO,past_rew_ch,past_rew_unch,past_Finf_ch,past_Finf_unch,past_Fnoninf_ch,past_Fnoninf_unch,past_O_ch,past_O_unch,subj,rts
74.0,0.7731898882334817,-0.8472978603872034,-2.197224577336219,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3639.0,0.8551
75.0,0.7731898882334817,0.7731898882334817,1.945910149055313,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3639.0,1.0380999999999998
76.0,0.7731898882334817,-0.3677247801253173,2.197224577336219,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3639.0,0.8022999999999999
77.0,-0.7731898882334817,0.3677247801253173,-2.197224577336219,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3639.0,0.9642000000000001
78.0,-0.7731898882334817,-0.7731898882334817,-1.945910149055313,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3639.0,0.689
79.0,-0.8472978603872034,-0.8472978603872034,-1.0986122886681093,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3639.0,0.9666
80.0,-0.8472978603872034,-0.44183275227903906,-1.0986122886681093,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3639.0,1.1914
81.0,-0.8472978603872034,0.44183275227903906,0.25131442828090617,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3639.0,0.7974
82.0,-0.44183275227903906,0.44183275227903906,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3639.0,0.7994
83.0,-0.8472978603872034,-0.3677247801253173,-2.197224577336219,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3639.0,1.1422
84.0,0.3677247801253173,-0.3677247801253173,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3639.0,1.2267000000000001
85.0,0.3677247801253173,0.7731898882334817,1.945910149055313,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3639.0,0.952
86.0,0.44183275227903906,0.7731898882334817,2.197224577336219,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3639.0,1.0502
87.0,-0.44183275227903906,0.3677247801253173,0.25131442828090617,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3639.0,0.9092
88.0,-0.3677247801253173,0.44183275227903906,-0.25131442828090617,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3639.0,0.786
