pF,pO,subj,bout,prob
-0.1459071934223175,0.5160259008407593,953.0,0.0,0.0
-0.19921337068080902,0.0012767505832016468,953.0,0.0,0.708185057924486
-0.2556459605693817,0.31143122911453247,953.0,0.0,1.4500101755059986
-0.10254157334566116,0.07597789168357849,953.0,0.0,0.08004270767353656
-0.8625076413154602,-0.6324748992919922,3132.0,0.0,0.0
-1.3634072542190552,-0.7761998772621155,3132.0,0.0,-0.7537718023763801
-0.6919262409210205,-0.6964864730834961,3132.0,0.0,-2.0907410969337694
-0.3011060357093811,-0.0034135959576815367,3132.0,0.0,1.5163474893680882
-0.44811511039733887,0.13050620257854462,3132.0,0.0,0.16034265007517948
-0.7578458189964294,0.002142635639756918,3132.0,0.0,-0.4054651081081643
-0.29519176483154297,0.5607951283454895,3132.0,0.0,0.3639653772014115
